Date,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,HBAR-USD,HYPE-USD,LEO-USD,LINK-USD,LTC-USD,SHIB-USD,SOL-USD,SUI-USD,TRX-USD,USDC-USD,USDT-USD,XLM-USD,XRP-USD
2024-01-29,0.5252749919891357,36.073768615722656,241.2978515625,310.7080078125,43288.24609375,0.08128900080919266,2317.064208984375,0.07440999895334244,2.4000000848900527e-05,3.9841229915618896,14.988256454467773,68.45301055908203,9.000000318337698e-06,101.56666564941406,8.499999967170879e-05,0.11304599791765213,1.000175952911377,1.0001250505447388,0.11644600331783295,0.5350900292396545
2024-01-30,0.5141649842262268,35.144779205322266,237.38525390625,307.4627380371094,42952.609375,0.07972300052642822,2344.49365234375,0.07293599843978882,2.099999983329326e-05,3.8682239055633545,15.467368125915527,67.51202392578125,9.000000318337698e-06,101.47297668457031,0.0002800000074785203,0.11204700171947479,1.0000560283660889,1.0000280141830444,0.11274100095033646,0.5106980204582214
2024-01-31,0.49825599789619446,33.16189956665039,234.25437927246094,300.35107421875,42582.60546875,0.07876399904489517,2282.54443359375,0.06954099982976913,2.099999983329326e-05,3.9569880962371826,15.39860725402832,66.75304412841797,9.000000318337698e-06,97.0287094116211,0.00018000000272877514,0.11224000155925751,1.0001740455627441,1.0000280141830444,0.10988999903202057,0.5031930208206177
2024-02-01,0.5070229768753052,33.82854080200195,236.6152801513672,300.1759033203125,43075.7734375,0.07932700216770172,2303.82470703125,0.07022900134325027,1.8999999156221747e-05,3.9905428886413574,17.184246063232422,67.51658630371094,9.000000318337698e-06,97.84669494628906,0.00012099999730708078,0.11556699872016907,1.0003440380096436,0.9999330043792725,0.10986799746751785,0.5058590173721313
2024-02-02,0.5139579772949219,36.707916259765625,236.2069091796875,301.15496826171875,43185.859375,0.07923299819231033,2308.0380859375,0.06919199973344803,1.8999999156221747e-05,4.015247821807861,17.791160583496094,68.0035171508789,9.000000318337698e-06,100.44052124023438,9.40000027185306e-05,0.11627999693155289,1.000141978263855,0.9997140169143677,0.11035999655723572,0.5104119777679443
2024-02-03,0.5128610134124756,35.91640090942383,240.6577911376953,299.7367248535156,42992.25,0.07865100353956223,2296.038330078125,0.06929200142621994,1.9999999494757503e-05,4.010505199432373,17.661924362182617,68.83683776855469,9.000000318337698e-06,97.8799819946289,2.5999999706982635e-05,0.11721699684858322,1.0001449584960938,0.999809980392456,0.11098899692296982,0.5189390182495117
2024-02-04,0.49425598978996277,34.844993591308594,235.22705078125,304.7341613769531,42583.58203125,0.07823800295591354,2289.546142578125,0.06841100007295609,1.9999999494757503e-05,4.010682106018066,18.17605972290039,66.93138885498047,9.000000318337698e-06,95.47695922851562,3.7999998312443495e-05,0.11838799715042114,1.0001269578933716,0.9997199773788452,0.10931199789047241,0.5032879710197449
2024-02-05,0.49333998560905457,34.50077438354492,235.43984985351562,300.8540344238281,42658.66796875,0.07822000235319138,2298.888916015625,0.06942900270223618,2.2000000171829015e-05,4.060276031494141,19.131561279296875,67.61941528320312,9.000000318337698e-06,95.54866027832031,3.7999998312443495e-05,0.1189040020108223,1.0000569820404053,0.9987949728965759,0.10841699689626694,0.5062440037727356
2024-02-06,0.4984630048274994,34.1414680480957,235.18617248535156,302.71014404296875,43084.671875,0.07846599817276001,2372.201904296875,0.0749329999089241,2.4000000848900527e-05,4.056146144866943,18.29801368713379,68.29098510742188,9.000000318337698e-06,96.86107635498047,1.8999999156221747e-05,0.12089700251817703,1.0002210140228271,0.9999819993972778,0.10815100371837616,0.5051530003547668
2024-02-07,0.5017729997634888,35.27924728393555,240.5064697265625,307.63458251953125,44318.22265625,0.08010400086641312,2423.7451171875,0.07588600367307663,2.499999936844688e-05,4.05079984664917,18.85492515563965,68.5560302734375,9.000000318337698e-06,100.97927856445312,0.0001449999981559813,0.12351500242948532,1.0000929832458496,0.9998239874839783,0.10909000039100647,0.5137889981269836
